"Northampton","city","False","0","83","83","0","14.7","8","104","0","0","68"
"Cardiff Met","city","False","0","84","84","0","21","7","118","0","0","77"
"Essex","city","False","0","85","85","0","17.4","4","121","0","0","87"
"Wolverhampton","city","False","0","86","86","0","15.5","3","108","0","0","85"
"Glyndwr","city","False","0","87","87","0","27.9","6","123","0","0","73"
"Plymouth","city","False","0","88","88","0","23.7","3","140","0","0","85"
"Leeds Beckett","city","False","0","89","89","0","20","5","113","0","0","70"
"Queen Mary","city","False","0","90","90","0","23.6","6","146","0","0","81"
"Gloucestershire","city","False","0","90","90","0","20.9","2","122","0","0","67"
"Bradford","city","False","0","92","92","0","20.2","5","136","0","0","69"
"Anglia Ruskin","city","False","0","93","93","0","16.9","3","108","0","0","61"
"Westminster","city","False","0","94","94","0","21.1","5","124","0","0","71"
"Goldsmiths","city","False","0","95","95","0","17.4","6","133","0","0","60"
"Bedfordshire","city","False","0","96","96","0","14.3","5","97","0","0","62"
"Bolton","city","False","0","97","97","0","16.5","3","106","0","0","60"
"Central Lancashire","city","False","0","98","98","0","18.1","2","137","0","0","71"
"Hertfordshire","city","False","0","99","99","0","14.9","4","120","0","0","78"
"Middlesex","city","False","0","100","100","0","18.1","3","127","0","0","53"
"Reading","city","False","0","101","101","0","21.9","5","139","0","0","70"
"Brighton","city","False","0","102","102","0","17","5","107","0","0","60"
"City","city","False","0","103","103","0","21.1","1","149","0","0","68"
"Canterbury Christ Church","city","False","0","104","104","0","17.1","5","100","0","0","56"
"Suffolk","city","False","0","105","105","0","21.3","1","115","0","0","67"
